round,loss,accuracy,latency,energy,cost
55,5.486949273794889,0.62,788396.1540000439,0.13774510341039345,394198.1458725738
56,0.8005233067274093,0.8084166666666667,1296819.7035701924,5485145.30565511,3390982.5046126507
57,12.472406005784869,0.62,801429.5318479898,0.13774510341039345,400714.8347965466
58,6.853825012817979,0.62,790158.4976610127,0.13774510341039345,395079.31770305807
59,2.3035746236145496,0.62,761864.356962817,0.13774510341039348,380932.2473539604
60,1.6124367061257363,0.62,771656.7572189353,0.13774510341039342,385828.4474820191
61,1.4161620315909387,0.6764166666666667,903806.8046672728,1319808.383637963,1111807.594152618
62,5.292631499841809,0.6200833333333333,792322.631538877,4638.882678523256,398480.7571087003
63,1.1722976434230805,0.6715,1935028.6520399894,15529795.301255915,8732411.976647956
64,0.7224043533205986,0.86625,1417478.560084477,6723713.704455685,4070596.132270082
65,4.38377860955894,0.654,854824.1415417661,700658.3816013766,777741.2615715717
66,2.0587267538905145,0.7599166666666667,1088778.8878329499,2875551.3973619794,1982165.142597464
67,1.935157046020031,0.7406666666666667,1048849.5095106058,2502781.948443409,1775815.7289770078
68,2.5599897910654543,0.7449166666666667,1064568.1308660684,2659505.108744494,1862036.6198052813
69,7.249389502257109,0.6379166666666667,828010.8514881792,380369.9307185857,604190.3911033825
70,1.5833306047320366,0.7340833333333333,1025074.7207396879,2247714.9328944003,1636394.8268170443
71,1.3510948207974434,0.7968333333333333,1174641.4514036514,3778879.7302269465,2476760.5908152987
72,0.9706437322497368,0.79625,1167149.8290708216,3851876.827671147,2509513.328370985
73,2.75722856387496,0.7963333333333333,1165327.465186603,3791927.9903339245,2478627.727760264
74,2.1040310007333756,0.5599166666666666,2099051.597329531,18365389.51901797,10232220.55817375
75,0.7662608674168587,0.8920833333333333,1406946.1205093304,6303598.340096153,3855272.2303027427
76,0.9967849850654602,0.7736666666666666,1797122.7035304517,12766645.454007907,7281884.078769179
77,4.824777515903115,0.6754166666666667,908449.4066016523,1105886.1817320276,1007167.7941668399
78,8.559546554237604,0.62,787918.9803800774,0.13774510341039345,393959.5590625904
79,2.4150464552640916,0.57825,2060641.021394507,17874063.661758564,9967352.341576537
80,1.051278966665268,0.8408333333333333,1359443.3566203332,6099012.011974526,3729227.684297431
81,3.439075318053365,0.64425,844051.0818541502,509953.7532187924,677002.4175364712
82,2.517461060285568,0.59175,2046061.8355322788,17522636.31936567,9784349.077448983
83,12.675669833272696,0.629,812970.5365420649,179566.62062571183,496268.5785838883
84,0.6044487845897675,0.8885,1616426.6555876695,9322665.246621631,5469545.95110465
85,0.6073423057794571,0.878,1350380.3121240782,5717090.979351052,3533735.6457375665
86,1.3850695554912091,0.7436666666666667,1049315.508265978,2546948.814593591,1798132.1614297845
87,2.1553582555055617,0.58675,2057078.1325752742,17676850.92419354,9866964.528384406
88,1.5180069828033447,0.6994166666666667,1904311.4569323321,14811481.10827231,8357896.282602323
89,2.584989354759455,0.67875,916235.7633117998,1176256.5139308008,1046246.1386213007
90,1.2169794961810112,0.7958333333333333,1154137.647847241,3664368.033710276,2409252.840778758
91,3.0258239632844925,0.5601666666666667,2089374.2406534364,18314726.7379942,10202050.489323819
92,1.4319054067134858,0.6954166666666667,1909757.7620574976,14702280.246546809,8306019.004302158
93,4.428988430649042,0.6699166666666667,896763.7720961424,1002813.3610850091,949788.5665905759
94,4.809621630087495,0.6454166666666666,843809.1952975187,529776.0627484203,686792.6290229696
95,1.4188152547180652,0.724,998347.2075930608,2061132.7303484879,1529739.9689707754
96,1.0854479217529296,0.73075,1015074.3667571871,2258205.3254738487,1636639.8461155177
97,0.8208733701705933,0.8126666666666666,1733091.7009017174,11493502.506469838,6613297.103685777
98,2.7827046959102155,0.6685,884974.3564838446,974648.2577619854,929811.3071229146
99,1.129460338652134,0.7100833333333333,981070.343356081,1859709.4222640533,1420389.8828100672
100,1.1648313215374946,0.7298333333333333,1025630.1274281018,2367355.621372411,1696492.8744002574
